,0
302,NEUTRAL
303,NEUTRAL
304,NEUTRAL
305,NEUTRAL
306,NEUTRAL
307,NEUTRAL
308,NEUTRAL
309,NEUTRAL
310,NEUTRAL
311,NEUTRAL
312,NEUTRAL
313,NEUTRAL
314,NEUTRAL
315,NEUTRAL
316,NEUTRAL
317,NEUTRAL
318,MIXED
319,MIXED
320,NEUTRAL
321,NEUTRAL
322,NEUTRAL
323,NEUTRAL
324,NEUTRAL
325,NEGATIVE
326,NEGATIVE
327,NEGATIVE
328,NEUTRAL
329,NEUTRAL
330,NEUTRAL
331,NEUTRAL
332,NEUTRAL
333,NEUTRAL
334,NEUTRAL
335,NEUTRAL
336,NEUTRAL
337,NEUTRAL
338,NEGATIVE
339,MIXED
340,NEUTRAL
341,NEUTRAL
342,NEUTRAL
343,NEUTRAL
344,NEUTRAL
345,NEUTRAL
346,NEUTRAL
347,NEUTRAL
348,NEUTRAL
349,NEUTRAL
350,NEUTRAL
351,NEUTRAL
352,NEUTRAL
353,NEUTRAL
354,NEUTRAL
355,NEUTRAL
356,NEGATIVE
357,NEGATIVE
358,MIXED
359,NEGATIVE
360,NEUTRAL
361,MIXED
362,NEUTRAL
363,NEUTRAL
364,MIXED
365,NEGATIVE
366,NEUTRAL
367,NEUTRAL
368,NEUTRAL
369,NEUTRAL
370,NEUTRAL
371,NEUTRAL
372,NEUTRAL
373,NEGATIVE
374,NEUTRAL
375,NEUTRAL
376,MIXED
377,NEUTRAL
378,NEUTRAL
379,NEUTRAL
380,NEUTRAL
381,NEUTRAL
382,NEUTRAL
383,NEUTRAL
384,NEUTRAL
385,NEUTRAL
386,NEUTRAL
387,NEUTRAL
388,NEUTRAL
389,NEUTRAL
390,NEUTRAL
391,NEUTRAL
392,NEUTRAL
393,NEUTRAL
394,NEUTRAL
395,NEUTRAL
396,NEUTRAL
397,NEUTRAL
398,NEUTRAL
399,NEUTRAL
400,NEUTRAL
401,NEUTRAL
402,NEUTRAL
403,NEUTRAL
404,NEUTRAL
405,NEUTRAL
406,NEGATIVE
407,NEGATIVE
408,NEUTRAL
409,MIXED
410,NEUTRAL
411,NEUTRAL
412,NEUTRAL
413,NEGATIVE
414,NEUTRAL
415,NEUTRAL
416,NEUTRAL
417,NEUTRAL
418,NEUTRAL
419,NEUTRAL
420,NEUTRAL
421,NEUTRAL
422,NEUTRAL
423,NEUTRAL
424,NEUTRAL
425,NEUTRAL
426,NEUTRAL
427,NEUTRAL
428,NEGATIVE
429,NEUTRAL
430,NEUTRAL
431,NEUTRAL
432,NEUTRAL
433,NEUTRAL
434,NEUTRAL
435,NEUTRAL
436,NEUTRAL
437,NEUTRAL
438,NEUTRAL
439,NEUTRAL
440,NEUTRAL
441,NEUTRAL
442,NEUTRAL
443,NEUTRAL
444,NEUTRAL
445,NEUTRAL
446,NEUTRAL
447,NEUTRAL
448,NEUTRAL
449,NEUTRAL
450,NEUTRAL
451,NEUTRAL
452,NEUTRAL
453,NEUTRAL
454,NEUTRAL
455,MIXED
456,NEUTRAL
457,NEUTRAL
458,MIXED
459,NEUTRAL
460,NEGATIVE
461,NEUTRAL
462,NEUTRAL
463,NEUTRAL
464,NEUTRAL
465,NEUTRAL
466,NEUTRAL
467,NEUTRAL
468,NEUTRAL
469,NEUTRAL
470,NEGATIVE
471,NEGATIVE
472,NEUTRAL
473,NEUTRAL
474,NEUTRAL
475,NEUTRAL
476,NEUTRAL
477,NEUTRAL
478,NEUTRAL
479,NEUTRAL
480,NEUTRAL
481,NEUTRAL
482,NEUTRAL
483,MIXED
484,NEUTRAL
485,NEUTRAL
486,NEUTRAL
487,NEUTRAL
488,NEUTRAL
489,NEGATIVE
490,NEGATIVE
491,NEUTRAL
492,NEUTRAL
493,NEGATIVE
494,NEUTRAL
495,NEUTRAL
496,NEUTRAL
497,NEUTRAL
498,NEUTRAL
499,MIXED
500,NEUTRAL
501,NEUTRAL
502,NEUTRAL
503,NEUTRAL
504,NEUTRAL
505,NEUTRAL
506,NEUTRAL
507,NEUTRAL
508,NEUTRAL
509,NEUTRAL
510,NEGATIVE
511,NEUTRAL
512,NEUTRAL
513,NEUTRAL
514,NEUTRAL
515,NEUTRAL
516,POSITIVE
517,NEUTRAL
518,NEUTRAL
519,NEUTRAL
520,NEUTRAL
521,NEUTRAL
522,NEUTRAL
523,NEUTRAL
524,NEUTRAL
525,NEUTRAL
526,NEUTRAL
527,NEUTRAL
528,NEUTRAL
529,MIXED
530,NEUTRAL
531,NEUTRAL
532,NEUTRAL
533,NEUTRAL
534,NEGATIVE
535,NEUTRAL
536,NEUTRAL
537,NEUTRAL
538,NEUTRAL
539,NEUTRAL
540,NEUTRAL
541,NEUTRAL
542,NEUTRAL
543,NEUTRAL
544,NEUTRAL
545,NEUTRAL
546,NEUTRAL
547,NEUTRAL
548,NEUTRAL
549,NEUTRAL
550,NEUTRAL
551,NEUTRAL
552,NEUTRAL
553,NEUTRAL
554,NEUTRAL
555,NEUTRAL
556,NEUTRAL
557,NEUTRAL
558,NEUTRAL
559,NEUTRAL
560,NEUTRAL
561,NEUTRAL
562,NEUTRAL
563,NEUTRAL
564,NEUTRAL
565,NEUTRAL
566,NEUTRAL
567,NEUTRAL
568,NEGATIVE
569,NEUTRAL
570,NEUTRAL
571,NEUTRAL
572,NEUTRAL
573,NEUTRAL
574,NEUTRAL
575,NEUTRAL
576,NEGATIVE
577,NEUTRAL
578,NEUTRAL
579,NEUTRAL
580,NEUTRAL
581,NEUTRAL
582,NEGATIVE
583,NEUTRAL
584,MIXED
585,NEUTRAL
586,NEUTRAL
587,NEUTRAL
588,NEUTRAL
589,NEUTRAL
590,NEUTRAL
591,MIXED
592,NEUTRAL
593,NEUTRAL
594,NEUTRAL
595,NEUTRAL
596,NEUTRAL
597,NEUTRAL
598,NEUTRAL
599,NEUTRAL
600,NEUTRAL
601,NEUTRAL
602,NEUTRAL
603,NEUTRAL
604,NEUTRAL
605,NEGATIVE
606,NEUTRAL
607,NEGATIVE
608,NEUTRAL
609,NEUTRAL
610,NEUTRAL
611,NEUTRAL
612,NEUTRAL
613,NEUTRAL
614,NEUTRAL
615,NEGATIVE
616,NEUTRAL
617,NEUTRAL
618,NEGATIVE
619,NEUTRAL
620,MIXED
621,NEUTRAL
622,NEUTRAL
623,NEUTRAL
624,NEUTRAL
625,NEUTRAL
626,NEUTRAL
627,NEUTRAL
628,NEUTRAL
629,NEUTRAL
630,NEUTRAL
631,NEUTRAL
632,NEGATIVE
633,NEUTRAL
634,MIXED
635,NEUTRAL
636,NEUTRAL
637,NEUTRAL
638,MIXED
639,NEUTRAL
640,NEUTRAL
641,NEUTRAL
642,NEUTRAL
643,NEUTRAL
644,NEUTRAL
645,NEUTRAL
646,NEUTRAL
647,NEUTRAL
648,NEUTRAL
649,NEUTRAL
650,MIXED
651,NEUTRAL
652,NEUTRAL
653,NEUTRAL
654,NEUTRAL
655,NEUTRAL
656,NEUTRAL
657,NEUTRAL
658,NEUTRAL
659,NEUTRAL
660,NEUTRAL
661,MIXED
662,NEUTRAL
663,NEUTRAL
664,NEUTRAL
665,NEUTRAL
666,NEUTRAL
667,NEGATIVE
668,NEUTRAL
669,NEUTRAL
670,NEUTRAL
671,NEUTRAL
672,NEUTRAL
673,NEUTRAL
674,NEUTRAL
675,NEUTRAL
676,NEUTRAL
677,NEGATIVE
678,NEUTRAL
679,NEUTRAL
680,NEGATIVE
681,NEUTRAL
682,NEUTRAL
683,NEUTRAL
684,NEUTRAL
685,NEUTRAL
686,MIXED
687,NEUTRAL
688,NEUTRAL
689,MIXED
690,NEUTRAL
691,NEUTRAL
692,NEUTRAL
693,NEUTRAL
694,NEUTRAL
695,NEUTRAL
696,NEUTRAL
697,NEUTRAL
698,NEUTRAL
699,NEGATIVE
700,NEUTRAL
701,NEUTRAL
702,NEUTRAL
703,NEUTRAL
704,NEUTRAL
705,NEUTRAL
706,NEUTRAL
707,NEUTRAL
708,NEUTRAL
709,NEUTRAL
710,NEUTRAL
711,NEUTRAL
712,NEGATIVE
713,NEUTRAL
714,NEUTRAL
715,NEGATIVE
716,NEUTRAL
717,NEUTRAL
718,NEUTRAL
719,NEUTRAL
720,NEUTRAL
721,NEUTRAL
722,NEUTRAL
723,NEUTRAL
724,NEUTRAL
725,NEGATIVE
726,NEUTRAL
727,NEUTRAL
728,MIXED
729,NEUTRAL
730,NEUTRAL
731,NEUTRAL
732,NEUTRAL
733,MIXED
734,NEUTRAL
735,NEUTRAL
736,NEGATIVE
737,NEUTRAL
738,NEUTRAL
739,NEUTRAL
740,NEUTRAL
741,NEUTRAL
742,NEUTRAL
743,NEUTRAL
744,NEUTRAL
745,NEGATIVE
746,NEUTRAL
747,NEUTRAL
748,NEGATIVE
749,NEUTRAL
750,NEUTRAL
751,NEUTRAL
752,NEUTRAL
753,NEUTRAL
754,NEUTRAL
755,NEUTRAL
756,NEUTRAL
757,NEUTRAL
758,NEUTRAL
759,MIXED
760,NEUTRAL
761,NEGATIVE
762,NEUTRAL
763,NEGATIVE
764,NEUTRAL
765,NEUTRAL
766,NEGATIVE
767,NEUTRAL
768,NEUTRAL
769,NEUTRAL
770,NEUTRAL
771,NEUTRAL
772,NEUTRAL
773,MIXED
774,NEUTRAL
775,NEUTRAL
776,NEGATIVE
777,NEUTRAL
778,NEUTRAL
779,NEUTRAL
780,NEUTRAL
781,NEGATIVE
782,NEUTRAL
783,MIXED
784,NEUTRAL
785,NEUTRAL
786,NEUTRAL
787,NEUTRAL
788,NEUTRAL
789,NEUTRAL
790,NEUTRAL
791,NEUTRAL
792,NEUTRAL
793,NEUTRAL
794,NEUTRAL
795,MIXED
796,NEUTRAL
797,NEUTRAL
798,NEUTRAL
799,NEUTRAL
800,NEUTRAL
801,NEUTRAL
802,NEUTRAL
803,NEUTRAL
804,NEUTRAL
805,NEUTRAL
806,NEUTRAL
807,NEUTRAL
808,NEUTRAL
809,NEUTRAL
810,NEUTRAL
811,NEGATIVE
812,NEUTRAL
813,NEUTRAL
814,NEUTRAL
815,NEUTRAL
816,NEGATIVE
817,NEUTRAL
818,MIXED
819,NEGATIVE
820,NEUTRAL
821,NEUTRAL
822,NEUTRAL
823,NEUTRAL
824,NEUTRAL
825,NEUTRAL
826,NEUTRAL
827,NEUTRAL
828,NEUTRAL
829,NEUTRAL
830,MIXED
831,NEUTRAL
832,NEUTRAL
833,NEUTRAL
834,NEUTRAL
835,NEUTRAL
836,NEGATIVE
837,NEUTRAL
838,NEGATIVE
839,NEUTRAL
840,NEUTRAL
841,NEUTRAL
842,NEUTRAL
843,NEUTRAL
844,NEUTRAL
845,NEUTRAL
846,NEUTRAL
847,NEUTRAL
848,MIXED
849,NEUTRAL
850,NEUTRAL
851,NEUTRAL
852,NEUTRAL
853,NEUTRAL
854,MIXED
855,NEGATIVE
856,NEUTRAL
857,NEUTRAL
858,NEUTRAL
859,MIXED
860,NEUTRAL
861,NEGATIVE
862,NEUTRAL
863,NEUTRAL
864,NEUTRAL
865,NEUTRAL
866,NEUTRAL
867,NEUTRAL
868,NEUTRAL
869,NEUTRAL
870,NEUTRAL
871,NEUTRAL
872,NEUTRAL
873,NEUTRAL
874,NEUTRAL
875,NEGATIVE
876,NEGATIVE
877,NEUTRAL
878,NEUTRAL
879,NEUTRAL
880,NEUTRAL
881,MIXED
882,MIXED
883,NEGATIVE
884,NEUTRAL
885,NEUTRAL
886,NEUTRAL
887,NEUTRAL
888,NEUTRAL
889,NEUTRAL
890,NEUTRAL
891,NEUTRAL
892,NEUTRAL
893,NEUTRAL
894,NEUTRAL
895,NEUTRAL
896,NEUTRAL
897,NEUTRAL
898,NEGATIVE
899,NEUTRAL
900,MIXED
901,NEUTRAL
902,NEUTRAL
903,NEUTRAL
904,NEUTRAL
905,NEUTRAL
906,NEUTRAL
907,NEUTRAL
908,NEUTRAL
909,NEUTRAL
910,NEUTRAL
911,NEUTRAL
912,NEUTRAL
913,NEUTRAL
914,NEUTRAL
915,NEUTRAL
916,NEUTRAL
917,NEUTRAL
918,NEUTRAL
919,NEUTRAL
920,NEUTRAL
921,NEUTRAL
922,NEUTRAL
923,NEUTRAL
924,MIXED
925,NEUTRAL
926,NEUTRAL
927,NEUTRAL
928,NEUTRAL
929,NEUTRAL
930,NEUTRAL
931,NEUTRAL
932,NEUTRAL
933,NEUTRAL
934,NEUTRAL
935,NEUTRAL
936,NEUTRAL
937,NEUTRAL
938,NEUTRAL
939,NEUTRAL
940,NEUTRAL
941,MIXED
942,NEUTRAL
943,NEUTRAL
944,NEUTRAL
945,NEUTRAL
946,NEUTRAL
947,NEUTRAL
948,NEUTRAL
949,NEUTRAL
950,NEUTRAL
951,NEUTRAL
952,NEUTRAL
953,NEUTRAL
954,NEUTRAL
955,NEUTRAL
956,MIXED
957,NEUTRAL
958,NEUTRAL
959,NEUTRAL
960,NEUTRAL
961,NEUTRAL
962,NEUTRAL
963,NEUTRAL
964,NEUTRAL
965,NEUTRAL
966,NEGATIVE
967,NEUTRAL
968,NEUTRAL
969,NEUTRAL
970,NEUTRAL
971,NEUTRAL
972,NEUTRAL
973,NEUTRAL
974,NEUTRAL
975,NEUTRAL
976,NEUTRAL
977,MIXED
978,NEUTRAL
979,MIXED
980,NEUTRAL
981,NEUTRAL
982,NEUTRAL
983,NEUTRAL
984,NEUTRAL
985,NEUTRAL
986,NEUTRAL
987,NEUTRAL
988,NEUTRAL
989,NEUTRAL
990,NEUTRAL
991,NEUTRAL
992,NEUTRAL
993,NEUTRAL
994,NEUTRAL
995,NEUTRAL
996,NEUTRAL
997,NEUTRAL
998,NEUTRAL
999,NEUTRAL
1000,NEGATIVE
1001,NEUTRAL
1002,NEUTRAL
1003,NEUTRAL
1004,NEUTRAL
1005,NEUTRAL
1006,POSITIVE
1007,NEUTRAL
1008,NEUTRAL
1009,NEUTRAL
1010,NEUTRAL
1011,NEUTRAL
1012,NEUTRAL
1013,NEUTRAL
1014,NEGATIVE
1015,NEUTRAL
1016,NEUTRAL
1017,NEUTRAL
1018,NEUTRAL
1019,NEUTRAL
1020,NEUTRAL
1021,NEUTRAL
1022,NEUTRAL
1023,NEUTRAL
1024,NEUTRAL
1025,NEUTRAL
1026,NEUTRAL
1027,NEUTRAL
1028,NEUTRAL
1029,NEGATIVE
1030,NEUTRAL
1031,MIXED
1032,NEUTRAL
1033,NEUTRAL
1034,NEUTRAL
1035,NEUTRAL
1036,NEUTRAL
1037,NEUTRAL
1038,MIXED
1039,NEUTRAL
1040,NEUTRAL
1041,NEUTRAL
1042,NEUTRAL
1043,NEUTRAL
1044,NEGATIVE
1045,NEUTRAL
1046,NEUTRAL
1047,NEUTRAL
1048,NEUTRAL
1049,NEUTRAL
1050,NEUTRAL
1051,NEUTRAL
1052,NEUTRAL
1053,NEUTRAL
1054,NEUTRAL
1055,NEGATIVE
1056,NEUTRAL
1057,NEUTRAL
1058,NEUTRAL
1059,NEUTRAL
1060,NEUTRAL
1061,NEUTRAL
1062,NEUTRAL
1063,NEUTRAL
1064,NEUTRAL
1065,NEUTRAL
1066,NEUTRAL
1067,NEUTRAL
1068,NEUTRAL
1069,NEUTRAL
1070,NEUTRAL
1071,NEUTRAL
1072,NEUTRAL
1073,NEUTRAL
1074,NEUTRAL
1075,NEUTRAL
1076,POSITIVE
1077,NEUTRAL
1078,NEUTRAL
1079,NEUTRAL
1080,NEGATIVE
1081,NEUTRAL
1082,NEUTRAL
1083,NEUTRAL
1084,NEUTRAL
1085,NEUTRAL
1086,NEGATIVE
1087,NEUTRAL
1088,NEUTRAL
1089,NEUTRAL
1090,NEUTRAL
1091,NEUTRAL
1092,NEUTRAL
1093,NEUTRAL
1094,NEUTRAL
1095,NEUTRAL
1096,NEUTRAL
1097,NEGATIVE
1098,NEUTRAL
1099,NEUTRAL
1100,NEUTRAL
1101,NEGATIVE
1102,NEUTRAL
1103,NEUTRAL
1104,NEUTRAL
1105,NEUTRAL
1106,NEUTRAL
1107,NEUTRAL
1108,NEUTRAL
1109,NEUTRAL
1110,NEGATIVE
1111,NEUTRAL
1112,NEUTRAL
1113,NEUTRAL
1114,NEUTRAL
1115,NEUTRAL
1116,NEUTRAL
1117,NEUTRAL
1118,NEUTRAL
1119,NEUTRAL
1120,NEUTRAL
1121,NEUTRAL
1122,NEGATIVE
1123,NEUTRAL
1124,NEUTRAL
1125,NEUTRAL
1126,NEUTRAL
1127,NEUTRAL
1128,NEUTRAL
1129,NEUTRAL
1130,NEUTRAL
1131,NEUTRAL
1132,NEUTRAL
1133,NEUTRAL
1134,NEUTRAL
1135,NEGATIVE
1136,NEUTRAL
1137,NEGATIVE
1138,NEUTRAL
1139,NEUTRAL
1140,NEUTRAL
1141,NEUTRAL
1142,NEUTRAL
1143,NEUTRAL
1144,NEUTRAL
1145,NEUTRAL
1146,NEUTRAL
1147,NEUTRAL
1148,NEUTRAL
1149,NEUTRAL
1150,NEUTRAL
1151,NEUTRAL
1152,NEUTRAL
1153,NEGATIVE
1154,NEUTRAL
1155,NEUTRAL
1156,NEUTRAL
1157,NEGATIVE
1158,NEUTRAL
1159,NEUTRAL
1160,NEUTRAL
1161,NEUTRAL
1162,NEGATIVE
1163,NEUTRAL
1164,NEUTRAL
1165,NEUTRAL
1166,NEUTRAL
1167,NEUTRAL
1168,NEUTRAL
1169,NEUTRAL
1170,NEUTRAL
1171,NEUTRAL
1172,NEUTRAL
1173,NEGATIVE
1174,NEUTRAL
1175,NEUTRAL
1176,NEGATIVE
1177,NEUTRAL
1178,NEUTRAL
1179,NEUTRAL
1180,NEUTRAL
1181,MIXED
1182,NEUTRAL
1183,MIXED
1184,NEUTRAL
1185,NEUTRAL
1186,NEUTRAL
1187,NEUTRAL
1188,NEUTRAL
1189,MIXED
1190,NEUTRAL
1191,NEUTRAL
1192,NEGATIVE
1193,NEUTRAL
1194,NEUTRAL
1195,MIXED
1196,NEUTRAL
1197,NEUTRAL
1198,NEUTRAL
1199,NEUTRAL
1200,NEUTRAL
1201,NEUTRAL
1202,NEUTRAL
1203,NEUTRAL
1204,NEUTRAL
1205,NEUTRAL
1206,NEUTRAL
1207,NEUTRAL
1208,NEUTRAL
1209,NEUTRAL
1210,NEGATIVE
1211,NEUTRAL
1212,NEUTRAL
1213,NEUTRAL
1214,NEUTRAL
1215,NEUTRAL
1216,NEUTRAL
1217,NEUTRAL
1218,NEUTRAL
1219,NEUTRAL
1220,NEUTRAL
1221,NEUTRAL
1222,NEUTRAL
1223,NEUTRAL
1224,MIXED
1225,NEUTRAL
1226,NEGATIVE
1227,NEUTRAL
1228,NEUTRAL
1229,NEUTRAL
1230,NEUTRAL
1231,NEUTRAL
1232,NEUTRAL
1233,NEUTRAL
1234,NEUTRAL
1235,NEUTRAL
1236,NEUTRAL
1237,NEGATIVE
1238,NEUTRAL
1239,NEUTRAL
1240,NEUTRAL
1241,NEGATIVE
1242,NEUTRAL
1243,NEUTRAL
1244,NEUTRAL
1245,NEUTRAL
1246,NEUTRAL
1247,NEUTRAL
1248,NEUTRAL
1249,NEUTRAL
1250,NEUTRAL
1251,NEUTRAL
1252,NEUTRAL
1253,NEUTRAL
1254,NEUTRAL
1255,NEUTRAL
1256,NEUTRAL
1257,NEGATIVE
1258,NEUTRAL
1259,NEUTRAL
1260,NEUTRAL
1261,NEUTRAL
1262,MIXED
1263,NEUTRAL
1264,NEUTRAL
1265,NEUTRAL
1266,NEUTRAL
1267,NEGATIVE
1268,NEUTRAL
1269,NEUTRAL
1270,NEUTRAL
1271,NEUTRAL
1272,NEUTRAL
1273,NEUTRAL
1274,NEUTRAL
1275,NEUTRAL
1276,NEUTRAL
1277,NEUTRAL
1278,NEUTRAL
1279,NEUTRAL
1280,NEUTRAL
1281,NEUTRAL
1282,NEUTRAL
1283,NEUTRAL
1284,NEUTRAL
1285,NEGATIVE
1286,NEUTRAL
1287,NEUTRAL
1288,NEUTRAL
1289,NEUTRAL
1290,NEUTRAL
1291,NEUTRAL
1292,NEUTRAL
1293,NEGATIVE
1294,NEUTRAL
1295,NEGATIVE
1296,NEUTRAL
1297,NEGATIVE
1298,NEUTRAL
1299,NEUTRAL
1300,NEUTRAL
1301,NEUTRAL
1302,NEUTRAL
1303,NEUTRAL
1304,NEUTRAL
1305,NEUTRAL
1306,NEUTRAL
1307,NEGATIVE
1308,NEUTRAL
1309,NEUTRAL
1310,NEUTRAL
1311,NEGATIVE
1312,NEUTRAL
1313,NEUTRAL
1314,NEUTRAL
1315,NEUTRAL
1316,NEUTRAL
1317,NEUTRAL
1318,MIXED
1319,NEUTRAL
1320,NEUTRAL
1321,NEUTRAL
1322,NEUTRAL
1323,NEGATIVE
1324,NEUTRAL
1325,NEGATIVE
1326,NEGATIVE
1327,NEUTRAL
1328,NEUTRAL
1329,NEUTRAL
1330,NEUTRAL
1331,NEUTRAL
1332,NEUTRAL
1333,NEUTRAL
1334,MIXED
1335,NEUTRAL
1336,NEUTRAL
1337,NEGATIVE
1338,NEGATIVE
1339,NEUTRAL
1340,NEUTRAL
1341,NEUTRAL
1342,NEUTRAL
1343,NEUTRAL
1344,NEUTRAL
1345,NEUTRAL
1346,NEUTRAL
1347,NEUTRAL
1348,NEUTRAL
1349,NEUTRAL
1350,NEUTRAL
1351,NEUTRAL
1352,NEUTRAL
1353,NEUTRAL
1354,NEUTRAL
1355,NEGATIVE
1356,NEUTRAL
1357,MIXED
1358,NEUTRAL
1359,NEUTRAL
1360,NEUTRAL
1361,NEGATIVE
1362,NEUTRAL
1363,NEUTRAL
1364,NEUTRAL
1365,NEUTRAL
1366,NEUTRAL
1367,NEUTRAL
1368,NEUTRAL
1369,NEUTRAL
1370,NEUTRAL
1371,NEUTRAL
1372,NEUTRAL
1373,NEUTRAL
1374,NEUTRAL
1375,NEUTRAL
1376,NEUTRAL
1377,NEUTRAL
1378,NEUTRAL
1379,NEUTRAL
